id,gasto
1,Compré una hamburguesa en el almuerzo
2,Compré frutas y verduras en el supermercado
3,Cena en un restaurante italiano
4,Pedí una pizza para la cena
5,Compré café en Starbucks
6,Almuerzo en la cafetería del trabajo
7,Compré un pastel de cumpleaños
8,Desayuno en una panadería local
9,Compré sushi para llevar
10,Compré snacks y bebidas para la fiesta
11,Pago del boleto del metro
12,Llené el tanque de gasolina del coche
13,Pago del peaje en la autopista
14,Compré un boleto de avión para las vacaciones
15,Pago del taxi para ir al aeropuerto
16,Pago del boleto de autobús
17,Renta de un coche para el fin de semana
18,Pago del servicio de transporte escolar
19,Compré una bicicleta nueva
20,Mantenimiento del coche en el taller
21,Pago del alquiler del apartamento
22,Pago de la hipoteca de la casa
23,Pago de la factura de la electricidad
24,Pago de la factura del agua
25,Compré muebles nuevos para la sala
26,Pago del servicio de internet
27,Reparación de la plomería en la cocina
28,Pintura nueva para las paredes del dormitorio
29,Pago del seguro de la vivienda
30,Compré cortinas nuevas para las ventanas
31,Pago de la matrícula de la universidad
32,Compré libros de texto para el semestre
33,Pago del curso online de programación
34,Inscripción a clases de inglés
35,Pago de la excursión escolar
36,Pago de la colegiatura del colegio privado
37,Compré útiles escolares para el nuevo ciclo
38,Pago de la suscripción a una plataforma educativa
39,Pago del curso de verano para niños
40,Pago de la conferencia sobre marketing digital
41,Pago de la consulta médica
42,Compra de medicamentos en la farmacia
43,Pago del seguro médico
44,Pago de la terapia física
45,Pago de la consulta dental
46,Compra de vitaminas y suplementos
47,Pago de la cirugía ambulatoria
48,Pago del servicio de ambulancia
49,Pago del examen de laboratorio
50,Pago de la sesión de terapia psicológica
51,Compré boletos para el cine
52,Pago de la suscripción a Netflix
53,Compré entradas para un concierto
54,Pago del servicio de streaming de música
55,Pago del evento deportivo
56,Compré un videojuego nuevo
57,Alquiler de una película en línea
58,Pago del servicio de cable
59,Compré un libro de aventuras
60,Pago del club social mensual
61,Depósito en la cuenta de ahorros
62,Transferencia a la cuenta de ahorros a largo plazo
63,Apertura de una nueva cuenta de ahorros
64,Transferencia al fondo de emergencia
65,Pago al plan de ahorro para la jubilación
66,Depósito en la cuenta de ahorros para la universidad
67,Transferencia al fondo de ahorro para la casa
68,Depósito en el certificado de depósito
69,Pago al plan de ahorro automático mensual
70,Transferencia al fondo de ahorro de viaje
71,Compra de acciones en la bolsa
72,Inversión en un fondo mutuo
73,Compra de bonos del gobierno
74,Pago al asesor financiero
75,Compra de bienes raíces para inversión
76,Inversión en una startup
77,Compra de criptomonedas
78,Aporte al fondo de inversión
79,Pago de la comisión de corretaje
80,Inversión en un fondo indexado
