id,gasto,categoría
1,Compré una hamburguesa en el almuerzo,Categoría: comida
2,Compré frutas y verduras en el supermercado,Categoría: comida
3,Cena en un restaurante italiano,"La categoría para el gasto de ""Cena en un restaurante"
4,Pedí una pizza para la cena,Categoría: comida
5,Compré café en Starbucks,"La categoría para el gasto ""Compré café en Starbucks"""
6,Almuerzo en la cafetería del trabajo,Comida.
7,Compré un pastel de cumpleaños,Entretenimiento.
8,Desayuno en una panadería local,Comida.
9,Compré sushi para llevar,Comida.
10,Compré snacks y bebidas para la fiesta,Entretenimiento.
11,Pago del boleto del metro,Transporte
12,Llené el tanque de gasolina del coche,Transporte
13,Pago del peaje en la autopista,Transporte
14,Compré un boleto de avión para las vacaciones,Transporte
15,Pago del taxi para ir al aeropuerto,Transporte
16,Pago del boleto de autobús,Transporte
17,Renta de un coche para el fin de semana,Transporte
18,Pago del servicio de transporte escolar,"La categoría para el gasto ""Pago del servicio de transporte escolar"
19,Compré una bicicleta nueva,Transporte
20,Mantenimiento del coche en el taller,Transporte
21,Pago del alquiler del apartamento,Vivienda.
22,Pago de la hipoteca de la casa,Vivienda.
23,Pago de la factura de la electricidad,"La categoría para el gasto ""Pago de la factura de la electric"
24,Pago de la factura del agua,Vivienda.
25,Compré muebles nuevos para la sala,Vivienda.
26,Pago del servicio de internet,Vivienda
27,Reparación de la plomería en la cocina,Vivienda.
28,Pintura nueva para las paredes del dormitorio,Vivienda.
29,Pago del seguro de la vivienda,Vivienda.
30,Compré cortinas nuevas para las ventanas,Vivienda.
31,Pago de la matrícula de la universidad,Educación
32,Compré libros de texto para el semestre,Educación
33,Pago del curso online de programación,Educación
34,Inscripción a clases de inglés,Educación
35,Pago de la excursión escolar,Educación
36,Pago de la colegiatura del colegio privado,Educación
37,Compré útiles escolares para el nuevo ciclo,Educación
38,Pago de la suscripción a una plataforma educativa,Educación.
39,Pago del curso de verano para niños,Educación
40,Pago de la conferencia sobre marketing digital,La conferencia sobre marketing digital se clasificaría en la categoría de
41,Pago de la consulta médica,Salud.
42,Compra de medicamentos en la farmacia,Categoría: Salud
43,Pago del seguro médico,Salud.
44,Pago de la terapia física,Salud.
45,Pago de la consulta dental,Salud.
46,Compra de vitaminas y suplementos,Salud.
47,Pago de la cirugía ambulatoria,Salud.
48,Pago del servicio de ambulancia,Salud.
49,Pago del examen de laboratorio,Salud.
50,Pago de la sesión de terapia psicológica,Salud.
51,Compré boletos para el cine,Entretenimiento.
52,Pago de la suscripción a Netflix,Entretenimiento.
53,Compré entradas para un concierto,Entretenimiento.
54,Pago del servicio de streaming de música,Entretenimiento.
55,Pago del evento deportivo,Entretenimiento.
56,Compré un videojuego nuevo,Entretenimiento.
57,Alquiler de una película en línea,Entretenimiento
58,Pago del servicio de cable,Entretenimiento.
59,Compré un libro de aventuras,Entretenimiento.
60,Pago del club social mensual,Entretenimiento
61,Depósito en la cuenta de ahorros,Ahorro
62,Transferencia a la cuenta de ahorros a largo plazo,Ahorro
63,Apertura de una nueva cuenta de ahorros,Ahorro
64,Transferencia al fondo de emergencia,La transferencia al fondo de emergencia se clasificaría en la categor
65,Pago al plan de ahorro para la jubilación,Ahorro
66,Depósito en la cuenta de ahorros para la universidad,Ahorro
67,Transferencia al fondo de ahorro para la casa,"La categoría para el gasto ""Transferencia al fondo de ahor"
68,Depósito en el certificado de depósito,Inversión.
69,Pago al plan de ahorro automático mensual,Ahorro
70,Transferencia al fondo de ahorro de viaje,Ahorro
71,Compra de acciones en la bolsa,Inversión.
72,Inversión en un fondo mutuo,Inversión.
73,Compra de bonos del gobierno,Inversión.
74,Pago al asesor financiero,Inversión.
75,Compra de bienes raíces para inversión,Inversión.
76,Inversión en una startup,Inversión.
77,Compra de criptomonedas,Inversión.
78,Aporte al fondo de inversión,Inversión.
79,Pago de la comisión de corretaje,Inversión.
80,Inversión en un fondo indexado,Inversión
